Version,Major version,ab,ace,af,am,an,ann,anp,ar,ast,ay,az,azb,ban,be,bg,bn,bo,br,bs,ca,cak,ceb,ckb,co,cs,cy,da,de,dsb,el,en-CA,en-GB,eo,es,es-AR,es-CL,es-ES,es-MX,et,eu,fa,ff,fi,fr,fur,fy-NL,ga-IE,gd,gl,gn,gu-IN,he,hi-IN,hil,hr,hsb,hu,hus,hy-AM,ia,id,is,it,ixl,ja,jv,ka,kaa,kab,kk,kmr,kn,ko,kw,lij,lo,lt,meh,mix,ml,mr,ms,my,nb-NO,ne-NP,nl,nn-NO,nv,oc,or,pa-IN,pa-PK,pai,pl,ppl,pt-BR,pt-PT,quc,quy,rm,ro,ru,sat,sc,si,sk,skr,sl,sn,sq,sr,su,sv-SE,szl,ta,te,tg,th,tl,tok,tr,trs,tsz,tt,tzm,ug,uk,ur,uz,vec,vi,wo,yo,yua,zam,zh-CN,zh-HK,zh-TW
'111.0,111,0.0,,,,0.6564,0.0174,,0.829,0.806,,0.4846,,0.0808,0.9984,0.8321,0.5891,,0.9311,0.6453,0.9984,0.9287,0.3927,0.6944,0.9984,0.9889,1.0,0.9984,0.9984,0.9873,0.9857,1.0,0.9984,0.9984,1.0,0.9984,0.9984,0.9984,0.9968,0.901,0.9984,0.7807,0.6366,0.9984,0.9984,0.9984,1.0,0.4885,0.9145,0.7158,1.0,0.5281,0.9747,0.7514,0.1172,0.9216,1.0,1.0,,0.9984,0.9984,0.9984,1.0,0.9984,,0.9984,,0.9984,0.9984,0.9984,0.9984,0.985,0.6065,0.9984,,0.5812,0.9984,0.8298,,0.0895,0.5843,0.5978,0.0,0.7736,0.9992,0.4624,0.9984,0.9984,0.0032,0.9984,0.1203,0.9984,0.4339,,0.9984,,0.9984,1.0,,,0.9762,0.6659,0.9984,0.9755,0.8733,0.996,0.9984,1.0,0.9984,,0.996,0.9984,0.9857,0.9984,0.4173,0.6714,0.8052,0.9984,1.0,0.8591,0.0974,1.0,0.6318,,0.7878,0.2399,0.27,0.9984,0.7791,0.9675,0.5123,0.9984,,0.9256,,,1.0,,0.9984
'112.0,112,0.0,0.0,0.0,0.9503,0.6538,0.0174,0.0,0.8241,0.8028,0.0,0.4826,,0.0804,1.0,0.8549,0.5868,0.0,0.9259,0.6427,0.9897,0.9503,0.3912,0.6916,0.9937,0.9811,1.0,1.0,1.0,0.9787,1.0,1.0,1.0,0.9976,1.0,1.0,1.0,1.0,1.0,0.9054,1.0,0.8139,0.6356,1.0,1.0,1.0,1.0,0.4866,0.9093,0.7129,0.9961,0.526,0.9842,0.7476,0.1167,0.9164,0.9976,1.0,0.0,1.0,1.0,0.9897,1.0,1.0,0.0,1.0,0.0,1.0,0.9945,0.9968,1.0,1.0,0.6041,1.0,0.0008,0.5789,1.0,0.8249,0.0,0.0891,0.582,0.5954,0.0,0.7831,1.0,0.4606,1.0,1.0,0.0032,1.0,0.1711,1.0,0.4976,0.0,1.0,0.0118,1.0,1.0,0.0,0.0,1.0,0.6632,1.0,0.9874,0.8715,0.9834,1.0,0.9968,1.0,0.0,1.0,1.0,0.9803,1.0,0.414,0.6688,0.8021,1.0,1.0,0.8541,0.097,1.0,0.6293,0.0,0.7831,0.239,0.2689,1.0,0.7752,0.9621,0.5591,1.0,0.0,0.9203,0.0,0.0,1.0,0.0,1.0
'113.0,113,0.0,0.0,0.0,1.0,0.6401,0.017,0.0,0.8057,0.7864,0.0,0.4729,,0.0789,1.0,0.8351,0.5743,0.0,0.9056,0.6293,1.0,0.9296,0.3839,0.6757,0.9721,0.9605,1.0,1.0,1.0,1.0,0.9961,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9954,0.8847,1.0,1.0,0.6223,1.0,1.0,1.0,1.0,0.476,0.9977,0.6981,1.0,0.5147,0.9768,0.7322,0.1146,0.8963,1.0,1.0,0.0,1.0,1.0,0.969,1.0,1.0,0.0,1.0,0.0,1.0,0.9791,0.9985,1.0,1.0,0.5913,1.0,0.0008,0.5666,1.0,0.8065,0.0,0.0875,0.5697,0.5828,0.0,0.7655,1.0,0.452,1.0,1.0,0.0031,1.0,0.168,1.0,0.5023,0.0,1.0,0.0263,1.0,1.0,0.0,0.0,1.0,0.6494,1.0,1.0,0.8537,0.9799,1.0,0.9969,1.0,0.0,0.9946,1.0,0.959,1.0,0.4033,0.6548,0.7856,1.0,1.0,0.8584,0.0952,1.0,0.726,0.0,0.8142,0.2345,0.2639,1.0,0.7601,0.9412,0.548,1.0,0.0,0.9002,0.0,0.0039,1.0,0.0,1.0
'114.0,114,0.0,0.0,0.0,1.0,0.6401,0.017,0.0,0.8057,0.7864,0.0,0.4729,,0.0789,1.0,0.8351,0.5743,0.0,0.9056,0.6293,1.0,0.9296,0.3839,0.6757,0.9721,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8847,1.0,1.0,0.6223,1.0,1.0,1.0,1.0,0.476,1.0,1.0,1.0,0.5147,0.9768,0.7322,0.1146,0.8963,1.0,1.0,0.0,1.0,1.0,0.9799,1.0,1.0,0.0,1.0,0.0,1.0,0.9791,0.9985,1.0,1.0,0.5913,1.0,0.0008,0.5666,1.0,0.8382,0.0,0.0875,0.5697,0.5828,0.0,0.7655,1.0,0.452,1.0,1.0,0.0031,1.0,0.2159,1.0,0.5023,0.0,1.0,0.0263,1.0,1.0,0.0,0.0,1.0,0.6494,1.0,1.0,0.8537,0.9861,1.0,1.0,1.0,0.0,0.9946,1.0,0.959,1.0,0.4033,0.6548,0.7856,1.0,1.0,0.8584,0.0952,1.0,0.8576,0.0,0.8351,0.2345,0.2639,1.0,0.7601,0.9412,0.548,1.0,0.0,0.9002,0.0,0.0039,1.0,0.0,1.0
'115.0,115,0.0,0.0,0.0,1.0,0.6347,0.0169,0.0,0.7989,0.7797,0.0,0.4689,,0.0783,1.0,0.8281,0.5695,0.0,0.8979,0.6239,1.0,0.9325,0.3807,0.67,1.0,1.0,1.0,1.0,1.0,1.0,0.9969,0.9923,1.0,0.987,1.0,1.0,1.0,1.0,0.99,0.8772,1.0,1.0,0.617,1.0,1.0,1.0,1.0,0.472,1.0,1.0,0.9985,0.5104,0.977,0.726,0.1136,0.888,1.0,1.0,0.0,1.0,1.0,0.9701,1.0,1.0,0.0,1.0,0.0,1.0,0.9777,0.9939,1.0,0.987,0.5863,1.0,0.0038,0.5625,1.0,0.8312,0.0,0.0867,0.5649,0.5779,0.0,0.759,1.0,0.4482,1.0,1.0,0.0031,1.0,0.2141,1.0,0.4981,0.0,1.0,0.0261,1.0,1.0,0.0,0.0,1.0,0.6447,1.0,1.0,0.8465,0.9962,1.0,0.9923,1.0,0.0,0.9854,0.9985,0.9509,1.0,0.3998,0.6493,0.779,1.0,1.0,0.8511,0.0944,1.0,0.868,0.0,0.8273,0.2325,0.2617,1.0,0.7536,0.9325,0.5434,1.0,0.0,0.8918,0.0,0.0038,1.0,0.0,1.0
'116.0,116,0.0,0.0,0.0,1.0,0.6357,0.0169,0.0,0.8002,0.7809,0.0,0.4696,,0.0784,1.0,0.8294,0.5703,0.0,1.0,0.6249,0.9915,0.9262,0.3812,0.671,1.0,1.0,1.0,0.9954,1.0,1.0,1.0,0.9839,1.0,0.9946,1.0,1.0,1.0,1.0,0.9816,0.8786,1.0,1.0,0.618,1.0,1.0,1.0,1.0,0.4727,0.9915,1.0,0.9962,0.5111,0.9792,0.7271,0.1138,1.0,1.0,1.0,0.0,1.0,1.0,0.9685,1.0,1.0,0.0,0.9946,0.0,0.9923,0.9739,0.9946,1.0,0.9931,0.5872,1.0,0.0038,0.5634,1.0,0.8324,0.0,0.0869,0.5657,0.5788,0.0,0.7602,1.0,0.4489,1.0,1.0,0.0031,1.0,0.2145,1.0,0.4965,0.0,0.9954,0.0261,1.0,1.0,0.0,0.0,1.0,0.6449,1.0,1.0,0.8478,0.9962,1.0,0.9954,0.9985,0.0,0.9923,0.9939,0.9954,1.0,0.6088,0.6533,0.7802,1.0,1.0,0.8509,0.0945,1.0,1.0,0.0,0.8217,0.2329,0.2621,1.0,0.7548,0.9339,0.5442,1.0,0.0,0.8932,0.0,0.0038,1.0,0.0,1.0
'117.0,117,0.0,0.0,0.0,1.0,0.6337,0.0169,0.0,0.7977,0.7785,0.0,0.4682,,0.0782,1.0,0.8268,0.5686,0.0,1.0,0.623,0.9885,0.9234,0.3801,0.669,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9808,1.0,1.0,0.9977,1.0,1.0,0.9977,0.9785,0.8759,1.0,1.0,0.6161,1.0,1.0,1.0,1.0,0.4713,0.9885,0.9969,1.0,0.5096,0.9793,0.7249,0.1134,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.9709,0.9985,1.0,0.99,0.5854,1.0,0.0077,0.5632,0.9985,0.8299,0.0,0.0866,0.564,0.577,0.0,0.7579,1.0,0.4475,1.0,1.0,0.0031,1.0,0.2138,1.0,0.495,0.0,1.0,0.0261,1.0,1.0,0.0,0.0,1.0,0.6429,1.0,1.0,0.8605,0.9962,1.0,0.9931,1.0,0.0,0.9893,0.9908,1.0,1.0,0.6069,0.6513,0.7778,1.0,0.9977,0.8483,0.0943,1.0,1.0,0.0,0.8192,0.2322,0.2613,1.0,0.7525,0.931,0.5425,1.0,0.0,0.8904,0.0,0.0038,1.0,0.0,1.0
'118.0,118,0.0,0.0,0.0,1.0,0.6373,0.0172,0.0,0.8276,0.7816,0.0,0.4711,,0.0796,1.0,0.83,0.5725,0.0,0.9969,0.624,0.9977,0.922,0.3908,0.6693,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9727,0.8799,1.0,0.9969,0.6186,1.0,1.0,1.0,1.0,0.4727,0.9828,0.9906,1.0,0.5109,0.9782,0.7293,0.1154,1.0,1.0,1.0,0.0,1.0,1.0,0.993,1.0,1.0,0.0,1.0,0.0,1.0,0.9657,1.0,1.0,0.9836,0.5881,1.0,0.0296,0.5663,0.9914,0.8323,0.0,0.0881,0.5647,0.5796,0.0,0.7598,1.0,0.4555,1.0,1.0,0.0031,1.0,0.2137,1.0,0.5023,0.0,1.0,0.0265,1.0,1.0,0.0,0.0,1.0,0.6459,1.0,1.0,0.8729,0.993,1.0,0.9867,1.0,0.0,0.9828,0.9852,1.0,1.0,0.5936,0.6544,0.7808,1.0,0.9992,0.8456,0.0959,1.0,1.0,0.0,0.8229,0.2363,0.2652,1.0,0.7559,0.9251,0.5429,1.0,0.0,0.8947,0.0,0.0039,1.0,0.0,1.0
'119.0,119,0.0,0.0,0.0,0.9956,0.603,0.0162,0.0,0.783,0.7395,0.0,0.4458,,0.0753,1.0,0.7852,0.5417,0.0,0.9417,0.5904,0.972,0.8723,0.3697,0.6332,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9926,1.0,1.0,1.0,1.0,1.0,1.0,0.9203,0.8325,0.9956,0.9417,0.5852,0.9934,1.0,1.0,1.0,0.4472,0.9299,0.9956,0.9985,0.4834,0.9793,0.69,0.1092,0.9528,1.0,1.0,0.0,1.0,1.0,0.9387,1.0,1.0,0.0,1.0,0.0,1.0,0.9137,0.9661,1.0,0.9299,0.5565,1.0,0.028,0.5373,0.9373,0.7875,0.0,0.0834,0.5343,0.5483,0.0,0.7188,0.9446,0.431,1.0,1.0,0.003,0.9786,0.2022,1.0,0.4753,0.0,0.9594,0.0251,1.0,1.0,0.0,0.0,1.0,0.6111,1.0,0.9542,0.8251,0.9801,1.0,0.9328,1.0,0.0,0.9299,0.9314,0.9446,1.0,0.5616,0.6192,0.7387,1.0,0.9756,0.8,0.0908,0.9919,0.9476,0.0,0.7786,0.2236,0.2627,1.0,0.7151,0.8753,0.5137,1.0,0.0,0.8465,0.0,0.0037,1.0,0.0,1.0
'120.0,120,0.0,0.0,0.0,0.9956,0.5875,0.016,0.0,0.7631,0.7208,0.0,0.4344,,0.0722,0.9993,0.766,0.5277,0.0,0.9198,0.7041,0.9606,0.8535,0.3608,0.6173,0.9876,0.9993,0.9993,0.9993,0.9993,0.9993,0.9993,0.9679,0.9993,0.9993,0.9971,0.9993,0.9993,0.9993,0.8994,0.8127,0.9971,0.9242,0.57,0.9927,0.9993,0.9993,0.9993,0.4359,0.9082,0.9993,0.9993,0.4716,0.9774,0.672,0.1064,0.9439,0.9993,0.9993,0.0,0.9993,0.9993,0.9169,0.9993,0.9993,0.0,0.9993,0.0,0.9993,0.8929,0.9679,0.9993,0.9082,0.5423,0.9993,0.0277,0.5241,0.9155,0.7682,0.0,0.0816,0.5204,0.5343,0.0,0.7004,0.957,0.4206,0.9993,0.9898,0.0029,0.9789,0.1983,0.9993,0.4643,0.0,0.9577,0.0248,0.9993,0.9993,0.0,0.0,0.9993,0.5955,0.9993,0.9322,0.8054,0.9796,0.9993,0.9286,0.9993,0.0,0.9971,0.9519,0.9402,0.9993,0.5481,0.6035,0.7201,0.9993,0.9869,0.7806,0.0897,0.9964,0.9257,0.0,0.7595,0.2172,0.914,0.9993,0.6968,0.855,0.5015,0.9993,0.0,0.8265,0.0,0.0036,0.9993,0.0,0.9993
